location,residential_complex,district,rooms_count,total_meters,floor,floors_count,underground,price,price_for_m
Москва,Малевич,Отрадное,1,27.8,7,28,Отрадное,8673600,311999
Москва,Проспект 39 ЖК,Рязанский,1,40.8,16,32,Стахановская,14263884,349605
Москва,Не указано,Лосиноостровский,1,34.4,10,16,Медведково,9200000,267441
Москва,Новые Смыслы ЖК,Фрунзенская,1,37.5,9,30,Потапово,9562500,255000
Москва,Родные кварталы ЖК,Фрунзенская,1,34.1,7,9,Толстопальцево,6705550,196643
Москва,1-й Измайловский,Гольяново,1,40.7,2,12,Щёлковская,13952164,342805
Москва,Не указано,Соколиная гора,1,41.0,2,12,Семёновская,11700000,285365
Москва,Прокшино ЖК,Фрунзенская,1,33.0,2,13,Прокшино,10088067,305699
Москва,Дзен-кварталы ЖК,Фрунзенская,1,34.0,2,24,Новомосковская,8928743,262610
Москва,Не указано,Теплый Стан,1,34.2,13,16,Тёплый Стан,9300000,271929
Москва,Новая Звезда,Фрунзенская,1,37.6,13,17,Бачуринская,11000000,292553
Москва,Не указано,Сокол,1,34.0,14,14,Сокол,9150000,269117
Москва,Переделкино Ближнее Город-парк,Фрунзенская,1,33.4,4,17,Мичуринец,9544436,285761
Москва,Не указано,Восточное Измайлово,1,29.8,5,5,Первомайская,9150000,307046
Москва,Voice Towers,Текстильщики,1,35.8,2,33,Новохохловская,12404700,346500
Москва,Не указано,Свиблово,1,37.6,3,17,Свиблово,12999999,345744
Москва,Бунинские Кварталы ЖК,Фрунзенская,1,34.5,4,19,Улица Горчакова,7739523,224334
Москва,Бунинские Кварталы ЖК,Фрунзенская,1,37.5,6,19,Бунинская аллея,8500000,226666
Москва,Новое Летово ЖК,Фрунзенская,1,39.0,2,7,Филатов Луг,11571300,296700
Москва,Не указано,Люблино,1,36.5,9,9,Братиславская,9215000,252465
Москва,Не указано,Фрунзенская,1,36.0,2,10,Филатов Луг,9870000,274166
Москва,Комплекс апартаментов LES,Ясенево,1,108.0,13,14,Тёплый Стан,27594000,255500
Москва,Не указано,Марьино,1,38.7,2,14,Марьино,10999999,284237
Москва,Апарт-отель Сигма Силино,Силино,1,38.94,6,14,Зеленоград — Крюково,11590894,297660
Москва,Не указано,Южное Медведково,1,35.0,3,12,Свиблово,10890000,311142
Москва,Скандинавия ЖК,Фрунзенская,1,33.4,11,13,Бунинская аллея,8906567,266663
Москва,Level Нижегородская,Нижегородский,1,41.3,14,45,Нижегородская,12800000,309927
Москва,Деснаречье ЖК,Фрунзенская,1,33.3,13,15,Ольховая,8977547,269596
Москва,Не указано,Южное Тушино,1,30.9,4,5,Сходненская,9900000,320388
Москва,Южные сады,Южное Бутово,1,30.3,9,30,Бунинская аллея,10492118,346274
Москва,Не указано,Басманный,1,20.9,1,3,Электрозаводская,6895000,329904
