location,residential_complex,district,rooms_count,total_meters,floor,floors_count,underground,price,price_for_m
Москва,Новые Академики ЖК,Котловка,1,39.22,7,35,Профсоюзная,18847239,480551
Москва,Не указано,Таганский,1,39.0,13,14,Москва-Товарная,17600000,451282
Москва,Не указано,Ясенево,1,33.0,3,9,Ясенево,9100000,275757
Москва,Символ ЖК,Лефортово,1,37.7,9,21,Площадь Ильича,19905600,527999
Москва,Не указано,Фрунзенская,1,40.6,15,15,Прокшино,11890000,292857
Москва,Не указано,Замоскворечье,1,32.7,3,5,Павелецкая,23960000,732721
Москва,Кутузовский Квартал ЖК,Кунцево,1,31.61,2,44,Кунцевская,14381127,454954
Москва,Art Residence,Беговой,1,43.0,5,6,Белорусская,26900000,625581
Москва,Не указано,Гольяново,1,37.7,1,9,Черкизовская,7700000,204244
Москва,PRIDE,Марьина роща,1,31.4,2,22,Савёловская,17903652,570180
Москва,NEVA TOWERS,Пресненский,1,78.0,30,79,Москва-Сити,92880000,1190769
Москва,Не указано,Алтуфьевский,1,32.0,9,9,Бескудниково,11690000,365312
Москва,Клубный дом Forum,Мещанский,1,85.04,6,13,Цветной бульвар,130383328,1533199
Москва,Не указано,Северное Измайлово,1,32.0,9,9,Локомотив,10990000,343437
Москва,Не указано,Дорогомилово,1,40.4,5,10,Кутузовская,28900000,715346
Москва,Клубный Город на Реке Примавера ЖК,Покровское-Стрешнево,1,41.0,2,13,Спартак,22451600,547600
Москва,Не указано,Хорошево-Мневники,1,60.0,10,19,Народное Ополчение,27500000,458333
Москва,Солнцево парк,Фрунзенская,1,38.0,6,17,Пыхтино,9350000,246052
Москва,hideOUT,Раменки,1,38.6,5,34,Парк Победы,23970600,620999
Москва,Поклонная 9,Дорогомилово,1,64.4,10,34,Поклонная,51000000,791925
Москва,Не указано,Фрунзенская,1,40.0,2,5,Филатов Луг,9555000,238875
Москва,Тэйт ЖК,Марьина роща,1,40.62,20,49,Марьина Роща,18197760,448000
Москва,Династия,Хорошевский,1,40.8,21,24,Полежаевская,30000000,735294
Москва,Не указано,Хорошевский,1,34.7,3,6,Аэропорт,15200000,438040
Москва,Остров,Хорошево-Мневники,1,37.5,15,22,Мнёвники,22758750,606900
Москва,Событие,Раменки,1,43.9,24,49,Аминьевская,27800000,633257
Москва,Не указано,Марфино,1,16.4,4,4,Фонвизинская,5030000,306707
Москва,Событие,Раменки,1,49.3,6,50,Мичуринский проспект,25621210,519700
Москва,Сердце Столицы,Хорошево-Мневники,1,46.0,33,41,Шелепиха,21000000,456521
Москва,Не указано,Фрунзенская,1,37.8,12,17,Рассказовка,9000000,238095
Москва,Михалковский ЖК,Головинский,1,27.4,2,9,Коптево,10921092,398580
Москва,Режиссёр,Ростокино,1,55.5,7,48,Ботанический сад,33000000,594594
Москва,Не указано,Раменки,1,43.1,4,8,Ломоносовский проспект,15000000,348027
Москва,Джойс ЖК,Хорошево-Мневники,1,35.1,24,47,Полежаевская,19127710,544949
Москва,Не указано,Пресненский,1,31.0,3,5,Маяковская,18500000,596774
Москва,Не указано,Крюково,1,39.4,6,14,Зеленоград — Крюково,8750000,222081
Москва,Река,Раменки,1,54.7,2,16,Мичуринский проспект,43377100,792999
Москва,Не указано,Фили-Давыдково,1,39.1,5,24,Славянский бульвар,19800000,506393
Москва,Не указано,Кунцево,1,36.3,6,17,Кунцевская,12500000,344352
Москва,Wellton SPA Residence,Хорошево-Мневники,1,38.7,3,6,Народное Ополчение,22252500,574999
Москва,Не указано,Свиблово,1,38.0,3,17,Свиблово,13700000,360526
Москва,Не указано,Выхино-Жулебино,1,32.7,5,9,Юго-Восточная,7700000,235474
Москва,SOUL,Аэропорт,1,39.0,10,29,Сокол,18203016,466744
Москва,Roza Rossa,Хамовники,1,31.4,4,6,Парк Культуры,28500000,907643
Москва,Не указано,Люблино,1,36.9,9,9,Братиславская,8850000,239837
Москва,Октябрьское Поле ЖК,Щукино,1,38.2,15,27,Щукинская,17031164,445841
Москва,Shagal,Даниловский,1,45.2,12,28,ЗИЛ,20500000,453539
Москва,Не указано,Тропарево-Никулино,1,17.2,22,22,Юго-Западная,9110000,529651
Москва,Петровский парк II,Савеловский,1,43.9,2,24,Гражданская,20865363,475293
Москва,Не указано,Северное Медведково,1,37.9,11,17,Медведково,10000000,263852
Москва,Москвичка,Фрунзенская,1,37.1,11,15,Новомосковская,9500000,256064
Москва,Дом 22 ЖК,Хамовники,1,53.1,3,12,Спортивная,96965910,1826099
Москва,Не указано,Зюзино,1,32.3,8,9,Севастопольская,12860000,398142
Москва,Не указано,Фрунзенская,1,45.0,7,16,Апрелевка,7200000,160000
